4a Site1,4a Site2,4b Site1,4b Site2,4b Site3,4e Site1,4e Site2,4a Site3,4g Site1,4g Site2,4g Site3,5g Site2,5g Site3
-27.213496,39.373338,-49.784895,27.805738,-28.659446,-22.420351,58.730904,-8.32198,-50.197887,42.052289,26.626273,35.958267,-45.381798
-94.702794,22.099613,-6.764178,-6.603092,-169.820255,-36.415474,46.169542,-3.486771,-28.918522,-16.452999,-39.501681,-2.233216,-23.283141
20.949545,-32.087184,65.322046,-45.808413,-68.931185,-11.537008,7.853062,-91.351058,-121.741103,79.608032,-45.917875,-19.986614,-67.955348
3.316125,14.249419,-70.9591,-11.171338,-53.649525,-51.572854,-3.701871,-26.838505,-88.17905,22.11706,-25.831359,-3.117755,-44.567047
-52.060175,-3.970268,15.125354,4.685595,-13.733418,-10.094165,62.887353,7.830357,-39.79589,-2.666523,-7.178126,-18.955807,-40.079583
-18.842999,-6.307688,-68.181681,-21.037258,-68.458921,-13.778111,-66.811972,22.158885,-12.522644,17.05504,-55.813192,10.52795,-25.877486
-82.943755,-28.818381,-34.890654,99.991625,-46.100471,35.615063,-24.844289,-62.423454,-29.825288,43.297001,12.871823,13.947323,4.551277
-38.408256,-8.009368,-37.632223,19.097773,-110.164421,-11.216987,28.659207,-8.281828,-38.767234,18.603999,-59.730163,2.510456,2.36132
-99.346325,-47.896078,-0.328386,8.853277,-60.009076,31.555887,-1.906025,-45.709945,-14.165052,22.493007,6.967806,38.865941,-4.765899
-33.317078,-15.747232,46.271595,64.24798,-23.914101,45.34308,61.517166,73.239399,-28.240001,5.247723,-87.216597,-5.764441,81.537957
47.911374,43.812285,9.757414,-29.598716,-101.111579,-13.694461,48.859009,53.156468,-32.810637,16.63918,-22.460981,53.206419,-72.5126
-53.995597,2.336942,83.461907,7.000071,-67.268223,-77.410666,63.150253,-2.802992,-11.298964,22.646684,14.802226,175.118885,3.500633
-88.3105,10.433545,5.436772,43.717641,-52.138089,33.228887,104.026662,-90.70528,-32.730333,23.663868,-61.127118,3.075691,-54.161224
-77.148722,-69.569076,-42.791277,34.282877,-12.128294,31.589586,14.764703,-35.285721,-39.33701,27.779687,5.553404,-26.324416,-38.076285
-57.922606,-6.170741,-20.559736,-29.631937,-54.04507,-43.399054,37.093039,-35.477877,-39.142942,16.807675,-44.491523,-35.386101,-8.750507
-54.517334,40.132402,-18.748594,-19.145334,7.310054,7.548337,-39.229699,-10.019597,-14.787647,119.614959,27.896797,83.526437,32.097461
-50.781764,-15.092372,61.85559,-58.370731,-13.730789,-44.585928,74.268533,-13.905498,16.393249,54.537171,-34.004681,-26.795007,3.318515
-7.615496,3.123491,2.715757,-0.474893,-47.916871,38.437414,14.856957,30.535835,83.292456,34.133502,-41.219374,5.953729,-85.958262
32.045359,6.241724,25.002507,-56.855471,-78.117389,17.740014,65.171476,-46.397787,-78.196976,-36.145643,-94.053909,-19.344421,-11.797996
-26.271358,90.393146,-39.296141,10.445256,-71.237535,-8.192203,33.184194,14.509929,61.38954,12.996581,-97.719691,-22.93444,77.539009
18.082023,-0.041347,-50.662742,45.799331,-128.355428,29.085344,40.343439,-9.914437,-3.810616,7.957266,-53.256848,-30.198606,-38.125997
-73.181083,62.071168,-13.989626,33.913383,-43.465496,33.324009,6.268253,-27.220188,-5.03573,-23.008769,-25.020432,51.371377,18.153723
-1.594608,10.464615,-105.181271,-16.757724,35.314162,-28.42905,56.247216,7.833942,24.407158,-2.059702,-74.128718,4.695633,-30.881907
-5.585191,-39.649861,-81.562096,88.201755,-18.285651,46.071313,0.386463,50.100614,9.519131,16.368393,-40.363037,-36.88487,11.955975
24.964745,38.483063,-16.451087,-41.830258,18.934058,0.393872,-29.763626,-9.433091,-38.183835,22.070455,-63.293653,50.422547,-56.798589
-48.302617,-26.263232,-30.751652,7.670227,-93.340733,-6.430056,17.792833,-3.141177,20.80734,-93.956875,0.060467,-23.896415,-6.83301
-7.059821,37.831071,-9.104227,-8.254821,-13.251833,-18.115961,41.03391,30.723928,12.865848,4.19206,-23.552255,-38.269636,13.604119
39.702202,56.995525,20.277716,4.956621,-42.641424,-37.8815,45.522808,37.637481,-42.82641,1.857747,-6.256542,15.346668,41.221764
-133.13495,39.045191,-93.401439,-41.936852,28.223749,9.147486,-15.329221,-7.307425,18.874308,69.842492,-7.81769,-37.936948,-40.067155
11.200018,-4.201859,-26.345687,-104.627508,-38.525127,-32.607726,74.736495,32.308498,-11.090556,63.183235,-62.757576,-30.882624,-74.728847
-56.29645,-49.975139,25.893977,-9.147486,-35.146145,-10.425897,35.121289,3.237494,30.870435,1.357759,-23.923183,72.531242,53.766157
34.782865,41.078842,-16.582059,-96.233111,-26.407827,-79.155127,28.284933,45.176019,30.356107,26.592574,-80.915601,23.014027,-55.989813
-5.082096,47.330126,21.009295,-15.648286,-52.456915,14.266388,-19.678543,-26.876028,-24.842855,15.771371,84.517809,34.900453,-66.125325
-24.622736,37.699382,48.630286,74.013759,-51.13883,-21.871129,20.028439,-69.523905,-25.870794,104.338796,-3.690399,11.263353,21.32597
-33.279077,32.38211,-49.337248,20.710784,26.283069,30.755476,6.029014,-24.791948,5.54002,29.836282,-9.766257,50.78511,66.7527
29.507657,-80.647204,-50.488511,16.859777,5.916684,20.69501,32.185891,-22.743957,-0.576946,15.968307,16.095933,-26.151141,-66.740511
-45.243178,84.627988,-41.686858,-27.036636,-75.253452,17.321286,5.142802,48.772252,45.540494,62.510689,-79.308804,3.812767,-42.368725
-70.904847,-3.439449,-20.076717,-31.857266,-72.805375,11.558996,-16.269447,34.883723,52.612265,39.671371,-57.562911,8.592528,44.517096
-37.696514,-43.682747,-86.629374,34.573262,-33.567072,24.267104,87.545939,-38.798782,-18.727084,28.380772,-36.33278,-21.626871,29.092036
-98.877885,47.988093,-5.044334,-53.661236,-87.566254,19.561194,-28.972058,8.648932,15.441312,-40.544438,64.258735,41.201449,-58.775836
43.037686,56.178145,-63.76281,28.553808,48.19435,20.811642,-32.720056,-6.537367,-5.914294,96.402562,19.680933,-96.072503,-17.224969
-66.596872,-20.768622,-2.37088,8.308118,-7.631031,24.54769,-37.169758,-88.5256,-10.83626,35.137541,-8.16185,25.584233,-90.330528
